Zeitstempel;Ladezustand [%];Solarproduktion [W];Batterie Laden [W];Batterie Entladen [W];Netzeinspeisung [W];Netzbezug [W];"Summe ext. Produktion
  [W]";Summe Produktion [W];Hausverbrauch [W];Wallbox_Gewächshaus Laden [W];Summe Verbrauch [W];Abregelungsgrenze [W];PV (geschätzt) [W];BHKW (geschätzt) [W]
01.01.2026 00:00:00;100;0;1714;0;395;3;5249;5249;3067;0;3067;28567;0;5300
01.01.2026 01:00:00;100;0;56;17;1753;0;5133;5133;3320;0;3320;28820;0;5300
01.01.2026 02:00:00;100;0;0;17;1317;45;5083;5083;3811;0;3811;29311;0;5300
01.01.2026 03:00:00;100;0;0;17;2284;0;5172;5172;2888;0;2888;28388;0;5300
01.01.2026 04:00:00;100;0;0;17;2544;0;5169;5169;2625;0;2625;28125;0;5300
01.01.2026 05:00:00;100;0;0;17;1219;0;5130;5130;3911;0;3911;29411;0;5300
01.01.2026 06:00:00;100;0;0;17;1663;0;5133;5133;3470;0;3470;28970;0;5300
01.01.2026 07:00:00;100;0;0;25;2164;47;5195;5195;3083;0;3083;28583;0;5300
01.01.2026 08:00:00;100;0;0;109;1459;8;5138;5138;3774;0;3774;29274;0;5300
01.01.2026 09:00:00;100;0;0;249;746;15;5172;5172;4657;0;4657;30157;0;5300
01.01.2026 10:00:00;100;0;0;17;4090;0;6001;6001;1910;0;1910;27410;6001;0
01.01.2026 11:00:00;100;0;0;17;5713;0;8175;8175;2462;0;2462;27962;8175;0
01.01.2026 12:00:00;100;0;0;17;4917;0;9391;9391;4475;0;4475;29975;9391;0
01.01.2026 13:00:00;100;0;0;17;4261;1;8420;8420;4160;0;4160;29660;8420;0
01.01.2026 14:00:00;100;0;0;17;5111;0;7247;7247;2137;0;2137;27637;7247;0
01.01.2026 15:00:00;100;0;0;17;3066;0;6286;6286;3220;0;3220;28720;6286;0
01.01.2026 16:00:00;100;0;0;17;2657;0;6347;6347;3690;0;3690;29190;1047;5300
01.01.2026 17:00:00;100;0;0;17;2461;0;5130;5130;2672;0;2672;28172;0;5300
01.01.2026 18:00:00;90;0;15;1504;1151;91;5119;5119;5437;0;5437;30937;0;5300
01.01.2026 19:00:00;77;0;33;3154;49;673;5179;5179;8683;0;8683;34183;0;5300
01.01.2026 20:00:00;68;0;219;1834;58;191;5173;5173;6769;0;6769;32269;0;5300
01.01.2026 21:00:00;70;0;918;300;50;50;5143;5143;4450;0;4450;29950;0;5300
01.01.2026 22:00:00;73;0;701;238;12;14;5144;5144;4621;0;4621;30121;0;5300
01.01.2026 23:00:00;80;0;1523;1;11;10;5213;5213;3606;0;3606;29106;0;5300
02.01.2026 00:00:00;91;0;2344;0;8;8;5135;5135;2672;0;2672;28172;0;5300
02.01.2026 01:00:00;98;0;1440;0;8;8;5153;5153;3643;0;3643;29143;0;5300
02.01.2026 02:00:00;100;0;431;23;975;39;5157;5157;3776;0;3776;29276;0;5300
02.01.2026 03:00:00;100;0;0;17;2429;0;5133;5133;2705;0;2705;28205;0;5300
02.01.2026 04:00:00;100;0;0;17;2210;0;5129;5129;2919;0;2919;28419;0;5300
02.01.2026 05:00:00;100;0;0;17;1420;0;5209;5209;3789;0;3789;29289;0;5300
02.01.2026 06:00:00;100;0;0;17;2185;0;5131;5131;2946;0;2946;28446;0;5300
02.01.2026 07:00:00;100;0;0;17;2390;11;5131;5131;2752;0;2752;28252;0;5300
02.01.2026 08:00:00;100;0;0;161;872;42;5216;5216;4508;0;4508;30008;0;5300
02.01.2026 09:00:00;100;0;0;143;1066;15;5151;5151;4212;0;4212;29712;0;5300
02.01.2026 10:00:00;100;0;0;22;2770;19;5316;5316;2568;0;2568;28068;5316;0
02.01.2026 11:00:00;100;0;0;17;3476;0;6284;6284;2808;0;2808;28308;6284;0
02.01.2026 12:00:00;98;0;394;344;577;41;6506;6506;5871;0;5871;31371;6506;0
02.01.2026 13:00:00;97;0;843;964;877;94;6094;6094;5323;0;5323;30823;6094;0
02.01.2026 14:00:00;97;0;558;639;1353;17;5238;5238;3913;0;3913;29413;5238;0
02.01.2026 15:00:00;88;0;359;2517;30;81;2665;2665;4674;0;4674;30174;2665;0
02.01.2026 16:00:00;98;0;2402;13;952;13;6623;6623;3159;0;3159;28659;6623;0
02.01.2026 17:00:00;100;0;376;12;2269;0;5198;5198;2533;0;2533;28033;0;5300
02.01.2026 18:00:00;96;0;177;1021;550;36;5084;5084;5334;0;5334;30834;0;5300
02.01.2026 19:00:00;99;0;814;218;25;22;5179;5179;4526;0;4526;30026;0;5300
02.01.2026 20:00:00;100;0;329;85;971;14;5074;5074;3835;0;3835;29335;0;5300
02.01.2026 21:00:00;100;0;0;103;1258;2;5067;5067;3890;0;3890;29390;0;5300
