Zeitstempel;Ladezustand [%];Solarproduktion [W];Batterie Laden [W];Batterie Entladen [W];Netzeinspeisung [W];Netzbezug [W];"Summe ext. Produktion
  [W]";Summe Produktion [W];Hausverbrauch [W];Wallbox_Gewächshaus Laden [W];Summe Verbrauch [W];Abregelungsgrenze [W];PV (geschätzt) [W];BHKW (geschätzt) [W]
01.01.2023 00:00:00;100;0;0;17;2423;0;5090;5090;2666;;2666;28166;0;5300
01.01.2023 01:00:00;88;0;0;2321;275;52;584;584;2607;;2607;28107;0;0
01.01.2023 02:00:00;76;0;0;2724;4;4;0;0;2460;;2460;27960;0;0
01.01.2023 03:00:00;69;0;0;1620;4;28;0;0;2418;;2418;27918;0;0
01.01.2023 04:00:00;60;0;0;1737;2;2;0;0;2411;;2411;27911;0;0
01.01.2023 05:00:00;70;0;2555;238;11;8;4256;4256;2365;;2365;27865;0;5300
01.01.2023 06:00:00;84;0;3223;0;8;8;5209;5209;2419;;2419;27919;0;5300
01.01.2023 07:00:00;96;0;2743;0;93;7;5113;5113;2528;;2528;28028;0;5300
01.01.2023 08:00:00;100;0;742;12;2338;0;5108;5108;1856;;1856;27356;0;5300
01.01.2023 09:00:00;100;0;0;17;3659;0;5288;5288;1629;;1629;27129;0;5300
01.01.2023 10:00:00;100;0;0;46;3601;7;6455;6455;2883;;2883;28383;6455;0
01.01.2023 11:00:00;100;0;0;17;4805;4;7868;7868;3067;;3067;28567;7868;0
01.01.2023 12:00:00;100;0;0;17;6775;0;8181;8181;1406;;1406;26906;8181;0
01.01.2023 13:00:00;100;0;0;17;7227;0;9374;9374;2146;;2146;27646;9374;0
01.01.2023 14:00:00;100;0;0;17;7654;0;9015;9015;1361;;1361;26861;9015;0
01.01.2023 15:00:00;100;0;0;17;4286;0;7496;7496;3210;;3210;28710;7496;0
01.01.2023 16:00:00;100;0;0;17;3133;0;5676;5676;2543;;2543;28043;376;5300
01.01.2023 17:00:00;100;0;0;36;2203;6;5170;5170;2974;;2974;28474;0;5300
01.01.2023 18:00:00;100;0;0;19;2210;0;5108;5108;2898;;2898;28398;0;5300
01.01.2023 19:00:00;100;0;0;17;2238;0;5206;5206;2968;;2968;28468;0;5300
01.01.2023 20:00:00;100;0;0;17;2599;10;5100;5100;2512;;2512;28012;0;5300
01.01.2023 21:00:00;100;0;0;17;2581;0;5094;5094;2512;;2512;28012;0;5300
01.01.2023 22:00:00;100;0;0;17;2823;0;5199;5199;2375;;2375;27875;0;5300
01.01.2023 23:00:00;100;0;0;17;3004;0;5117;5117;2113;;2113;27613;0;5300
02.01.2023 00:00:00;96;0;0;502;2060;36;3611;3611;2259;;2259;27759;0;5300
02.01.2023 01:00:00;89;0;0;1706;2;2;0;0;2434;;2434;27934;0;0
02.01.2023 02:00:00;83;0;0;1561;3;3;0;0;2388;;2388;27888;0;0
02.01.2023 03:00:00;76;0;0;1518;3;29;0;0;2380;;2380;27880;0;0
02.01.2023 04:00:00;69;0;0;1505;2;2;0;0;2250;;2250;27750;0;0
02.01.2023 05:00:00;75;0;2100;516;9;7;3467;3467;2430;;2430;27930;0;5300
02.01.2023 06:00:00;89;0;3225;0;8;8;5221;5221;2106;;2106;27606;0;5300
02.01.2023 07:00:00;99;0;2276;0;655;3;5099;5099;2074;;2074;27574;0;5300
02.01.2023 08:00:00;100;0;54;18;2818;0;5122;5122;2278;;2278;27778;0;5300
02.01.2023 09:00:00;100;0;0;356;1966;48;5248;5248;3636;;3636;29136;0;5300
02.01.2023 10:00:00;100;0;0;20;3647;1;5793;5793;2147;;2147;27647;5793;0
02.01.2023 11:00:00;100;0;0;17;5914;0;7182;7182;1268;;1268;26768;7182;0
02.01.2023 12:00:00;100;0;0;17;6741;0;8088;8088;1347;;1347;26847;8088;0
02.01.2023 13:00:00;100;0;0;17;6960;0;8323;8323;1363;;1363;26863;8323;0
02.01.2023 14:00:00;100;0;0;17;6288;0;7458;7458;1170;;1170;26670;7458;0
02.01.2023 15:00:00;100;0;0;17;5096;0;6349;6349;1254;;1254;26754;6349;0
02.01.2023 16:00:00;100;0;0;17;3265;0;5818;5818;2553;;2553;28053;518;5300
02.01.2023 17:00:00;100;0;0;27;1292;5;5168;5168;3883;;3883;29383;0;5300
02.01.2023 18:00:00;100;0;0;149;315;27;5143;5143;4952;;4952;30452;0;5300
02.01.2023 19:00:00;95;0;57;399;156;59;5232;5232;5358;;5358;30858;0;5300
02.01.2023 20:00:00;95;0;136;240;56;61;5131;5131;5382;;5382;30882;0;5300
02.01.2023 21:00:00;99;0;1102;0;348;27;5127;5127;3511;;3511;29011;0;5300
02.01.2023 22:00:00;100;0;24;18;2535;0;5219;5219;2675;;2675;28175;0;5300
02.01.2023 23:00:00;100;0;0;17;2487;0;5124;5124;2637;;2637;28137;0;5300
03.01.2023 00:00:00;97;0;0;675;1641;47;3810;3810;2800;;2800;28300;0;5300
03.01.2023 01:00:00;87;0;0;2545;2;2;0;0;2435;;2435;27935;0;0
03.01.2023 02:00:00;76;0;0;2462;3;3;0;0;2434;;2434;27934;0;0
03.01.2023 03:00:00;65;0;0;2430;2;41;0;0;2435;;2435;27935;0;0
03.01.2023 04:00:00;56;0;257;2166;6;4;543;543;2464;;2464;27964;0;0
03.01.2023 05:00:00;69;0;3103;0;8;7;5201;5201;2474;;2474;27974;0;5300
03.01.2023 06:00:00;83;0;3107;0;7;7;5121;5121;2477;;2477;27977;0;5300
03.01.2023 07:00:00;95;0;2789;0;14;7;5105;5105;2600;;2600;28100;0;5300
03.01.2023 08:00:00;100;0;1044;25;1651;14;5144;5144;2283;;2283;27783;0;5300
03.01.2023 09:00:00;100;0;0;93;2722;10;5335;5335;2669;;2669;28169;35;5300
03.01.2023 10:00:00;100;0;0;40;2468;2;5816;5816;3371;;3371;28871;5816;0
03.01.2023 11:00:00;100;0;0;36;2492;2;6563;6563;4091;;4091;29591;6563;0
03.01.2023 12:00:00;100;0;0;17;5379;0;9172;9172;3793;;3793;29293;9172;0
03.01.2023 13:00:00;100;0;0;17;7058;0;8966;8966;1908;;1908;27408;8966;0
03.01.2023 14:00:00;100;0;0;17;8181;0;9307;9307;1127;;1127;26627;9307;0
03.01.2023 15:00:00;100;0;0;17;4969;0;7518;7518;2549;;2549;28049;7518;0
03.01.2023 16:00:00;100;0;0;17;2671;0;5642;5642;2971;;2971;28471;342;5300
03.01.2023 17:00:00;100;0;0;323;1210;20;5164;5164;4405;;4405;29905;0;5300
03.01.2023 18:00:00;95;0;304;821;52;52;5201;5201;6169;;6169;31669;0;5300
03.01.2023 19:00:00;97;0;444;29;53;52;5099;5099;5134;;5134;30634;0;5300
03.01.2023 20:00:00;99;0;604;0;53;53;5097;5097;5093;;5093;30593;0;5300
03.01.2023 21:00:00;100;0;178;143;484;22;5191;5191;4933;;4933;30433;0;5300
03.01.2023 22:00:00;100;0;0;335;1086;45;5123;5123;4313;;4313;29813;0;5300
03.01.2023 23:00:00;100;0;0;23;2469;2;5125;5125;2657;;2657;28157;0;5300
04.01.2023 00:00:00;100;0;0;17;2809;0;5121;5121;2312;;2312;27812;0;5300
04.01.2023 01:00:00;100;0;0;17;3250;0;5219;5219;1969;;1969;27469;0;5300
04.01.2023 02:00:00;100;0;0;17;3227;0;5121;5121;1894;;1894;27394;0;5300
04.01.2023 03:00:00;100;0;0;17;3297;0;5123;5123;1826;;1826;27326;0;5300
04.01.2023 04:00:00;100;0;0;17;3153;24;5161;5161;2032;;2032;27532;0;5300
04.01.2023 05:00:00;100;0;0;17;2691;0;5139;5139;2448;;2448;27948;0;5300
04.01.2023 06:00:00;100;0;0;17;2923;0;5134;5134;2211;;2211;27711;0;5300
04.01.2023 07:00:00;100;0;0;17;2620;0;5227;5227;2607;;2607;28107;0;5300
04.01.2023 08:00:00;100;0;0;17;2267;0;5123;5123;2856;;2856;28356;0;5300
04.01.2023 09:00:00;100;0;0;17;2492;0;5119;5119;2628;;2628;28128;0;5300
04.01.2023 10:00:00;95;0;0;493;1934;20;5326;5326;3936;;3936;29436;5326;0
04.01.2023 11:00:00;96;0;787;483;148;38;5507;5507;5086;;5086;30586;5507;0
04.01.2023 12:00:00;100;0;775;28;1042;22;5722;5722;3832;;3832;29332;5722;0
04.01.2023 13:00:00;100;0;0;342;2205;21;5773;5773;3944;;3944;29444;5773;0
04.01.2023 14:00:00;100;0;0;17;4018;0;5891;5891;1874;;1874;27374;5891;0
04.01.2023 15:00:00;100;0;0;17;4404;0;5991;5991;1587;;1587;27087;5991;0
04.01.2023 16:00:00;100;0;0;17;3546;0;5415;5415;1871;;1871;27371;115;5300
04.01.2023 17:00:00;100;0;0;35;1617;11;5237;5237;3632;;3632;29132;0;5300
04.01.2023 18:00:00;100;0;0;17;1292;0;5129;5129;3838;;3838;29338;0;5300
